Pose,Hole,Y-offset,Z-offset,Y-CapOffset,Z-CapOffset
5,-3,9.102,5,9.102,25
5,-2,19.102,5,19.102,25
5,-1,29.102,5,29.102,25
5,0,39.102,5,39.102,25
5,1,49.102,5,49.102,25
5,2,59.102,5,59.102,25
5,3,69.102,5,69.102,25
6,-3,10.898,5,10.898,25
6,-2,20.898,5,20.898,25
6,-1,30.898,5,30.898,11
6,0,40.898,5,40.898,25
6,1,50.898,5,50.898,25
6,2,60.898,5,60.898,25
6,3,70.898,5,70.898,25
7,-3,10.898,5,10.898,25
7,-2,20.898,5,20.898,25
7,-1,30.898,5,30.898,25
7,0,40.898,5,40.898,25
7,1,50.898,5,50.898,25
7,2,60.898,5,60.898,25
7,3,70.898,5,70.898,25
8,-3,9.102,5,9.102,25
8,-2,19.102,5,19.102,25
8,-1,29.102,5,29.102,25
8,0,39.102,5,39.102,25
8,1,49.102,5,49.102,25
8,2,59.102,5,59.102,25
8,3,69.102,5,69.102,25
9,-3,9.102,80,14.102,86
9,-2,19.102,80,24.102,86
9,-1,29.102,80,34.102,86
9,0,39.102,80,44.102,86
9,1,49.102,80,54.102,86
9,2,59.102,80,64.102,86
9,3,69.102,80,74.102,86
